U+03034C: 𰍌
U+03034D: 𰍍
U+03034E: 𰍎
U+03034F: 𰍏
U+030350: 𰍐
U+030351: 𰍑
U+030352: 𰍒
U+030353: 𰍓
U+030354: 𰍔
U+030355: 𰍕
U+030356: 𰍖
U+030357: 𰍗
U+030358: 𰍘
U+030359: 𰍙
U+03035A: 𰍚
U+03035B: 𰍛
U+03035C: 𰍜
U+03035D: 𰍝
U+03035E: 𰍞
U+03035F: 𰍟
U+030360: 𰍠
U+030361: 𰍡
U+030362: 𰍢
U+030363: 𰍣
U+030364: 𰍤
U+030365: 𰍥
U+030366: 𰍦
U+030367: 𰍧
U+030368: 𰍨
U+030369: 𰍩
U+03036A: 𰍪
U+03036B: 𰍫
U+03036C: 𰍬
U+03036D: 𰍭
U+03036E: 𰍮
U+03036F: 𰍯
U+030370: 𰍰
U+030371: 𰍱
U+030372: 𰍲
U+030373: 𰍳
U+030374: 𰍴
U+030375: 𰍵
U+030376: 𰍶
U+030377: 𰍷
U+030378: 𰍸
U+030379: 𰍹
U+03037A: 𰍺
U+03037B: 𰍻
U+03037C: 𰍼
U+03037D: 𰍽
U+03037E: 𰍾
U+03037F: 𰍿
U+030380: 𰎀
U+030381: 𰎁
U+030382: 𰎂
U+030383: 𰎃
U+030384: 𰎄
U+030385: 𰎅
U+030386: 𰎆
U+030387: 𰎇
U+030388: 𰎈
U+030389: 𰎉
U+03038A: 𰎊
U+03038B: 𰎋
U+03038C: 𰎌
U+03038D: 𰎍
U+03038E: 𰎎
U+03038F: 𰎏
U+030390: 𰎐
U+030391: 𰎑
U+030392: 𰎒
U+030393: 𰎓
U+030394: 𰎔
U+030395: 𰎕
U+030396: 𰎖
U+030397: 𰎗
U+030398: 𰎘
U+030399: 𰎙
U+03039A: 𰎚
U+03039B: 𰎛
U+03039C: 𰎜
U+03039D: 𰎝
U+03039E: 𰎞
U+03039F: 𰎟
U+0303A0: 𰎠
U+0303A1: 𰎡
U+0303A2: 𰎢
U+0303A3: 𰎣
U+0303A4: 𰎤
U+0303A5: 𰎥
U+0303A6: 𰎦
U+0303A7: 𰎧
U+0303A8: 𰎨
U+0303A9: 𰎩
U+0303AA: 𰎪
U+0303AB: 𰎫
U+0303AC: 𰎬
U+0303AD: 𰎭
U+0303AE: 𰎮
U+0303AF: 𰎯
U+0303B0: 𰎰
U+0303B1: 𰎱
U+0303B2: 𰎲
U+0303B3: 𰎳
U+0303B4: 𰎴
U+0303B5: 𰎵
U+0303B6: 𰎶
U+0303B7: 𰎷
U+0303B8: 𰎸
U+0303B9: 𰎹
U+0303BA: 𰎺
U+0303BB: 𰎻
U+0303BC: 𰎼
U+0303BD: 𰎽
U+0303BE: 𰎾
U+0303BF: 𰎿
U+0303C0: 𰏀
U+0303C1: 𰏁
U+0303C2: 𰏂
U+0303C3: 𰏃
U+0303C4: 𰏄
U+0303C5: 𰏅
U+0303C6: 𰏆
U+0303C7: 𰏇
U+0303C8: 𰏈
U+0303C9: 𰏉
U+0303CA: 𰏊
U+0303CB: 𰏋
U+0303CC: 𰏌
U+0303CD: 𰏍
U+0303CE: 𰏎
U+0303CF: 𰏏
U+0303D0: 𰏐
U+0303D1: 𰏑
U+0303D2: 𰏒
U+0303D3: 𰏓
U+0303D4: 𰏔
U+0303D5: 𰏕
U+0303D6: 𰏖
U+0303D7: 𰏗
U+0303D8: 𰏘
U+0303D9: 𰏙
U+0303DA: 𰏚
U+0303DB: 𰏛
U+0303DC: 𰏜
U+0303DD: 𰏝
U+0303DE: 𰏞
U+0303DF: 𰏟
U+0303E0: 𰏠
U+0303E1: 𰏡
U+0303E2: 𰏢
U+0303E3: 𰏣
U+0303E4: 𰏤
U+0303E5: 𰏥
U+0303E6: 𰏦
U+0303E7: 𰏧
U+0303E8: 𰏨
U+0303E9: 𰏩
U+0303EA: 𰏪
U+0303EB: 𰏫
U+0303EC: 𰏬
U+0303ED: 𰏭
U+0303EE: 𰏮
U+0303EF: 𰏯
U+0303F0: 𰏰
U+0303F1: 𰏱
U+0303F2: 𰏲
U+0303F3: 𰏳
U+0303F4: 𰏴
U+0303F5: 𰏵
